[2019-09-24 10:04:53,797][default:INFO(313)]--[errorcode]:error("EOSCS00000","xxxxxxxx{0}","xfdlsjflsjfkls");
[2019-09-24 10:04:53,798][default:INFO(312)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 10:04:53,798][default:INFO(313)]--[errorcode]:			error("EOSCS00000","fdasfaflkkkkkkkkkkk");

[2019-09-24 10:04:53,798][default:INFO(312)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 10:04:53,798][default:INFO(313)]--[errorcode]:			warn("WOSCS00000","fdasfaflkkkkkkkkkkk");

[2019-09-24 10:04:53,799][default:INFO(312)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 10:04:53,799][default:INFO(313)]--[errorcode]:			succ("SOSCS00000","fdasfaflkkkkkkkkkkk");

[2019-09-24 10:04:53,800][default:INFO(312)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 10:04:53,800][default:INFO(313)]--[errorcode]:			info("IOSCS00000","fdasfaflkkkkkkkkkkk");

[2019-09-24 10:04:53,801][default:INFO(312)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 10:04:53,801][default:INFO(313)]--[errorcode]:		succ("SOSCSGL025");

[2019-09-24 10:04:53,801][default:INFO(312)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 10:04:53,801][default:INFO(313)]--[errorcode]:			error("EOSCSGL022");

[2019-09-24 10:04:53,801][default:INFO(312)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 10:04:53,801][default:INFO(313)]--[errorcode]:		succ("SOSCSGL026");

[2019-09-24 10:04:53,869][default:INFO(483)]--[errorcode]:将新生成的错误码信息写入文件作为变更的脚本...
[2019-09-24 10:04:53,871][default:INFO(398)]--[errorcode]:update SC_CODE_COUNT
[2019-09-24 10:04:53,874][default:INFO(500)]--[errorcode]:导出数据库文件...
